Company_name,Company_address,Required_Position
J.P Morgan,"Goregaon West, Mumbai, Maharashtra 400047","Java Developer, Web Developer"
Barclyas,"Mumbai,Maharashtra","Python Developer, ML Engineer"
Tcs,"Banglore,Karnataka","AI Engineer, Data Scientist"
Rodricks.Inc,"Pune,Maharastra","Web Developer, UI/UX designer"
Twitter,"Hyderabad,Telangana",Data Analyst
Meta,"Delhi,India",Mern Developer
Naik Companies,"Bhayandar,Maharashtra","Accountant, ML Engineer"
Tata Motors,"Powai, Maharastra",Mechanical Engineer
Tesla ,"Pune,Maharastra","AI Engineer, Data Scientist"
Jio,"Ahmedabad,Gujrat","Electronics Engineer, Software Engineer"
